id,name,latitude,longitude,open,close,nature,culture,view
0,金刀比羅宮,34.183998,133.809537,0830,1700,1,1,1
1,エンジェルロード,34.477093,134.188564,0000,2359,1,0,1
2,屋島,34.355707,134.104648,0630,2200,1,1,1
3,鬼ヶ島大洞窟,34.396907,134.050483,0830,1700,1,1,1
4,栗林公園,34.329384,134.044535,0630,1800,1,0,0
5,銭形砂絵,34.134046,133.642149,0000,2359,1,0,0
6,津嶋神社,34.241592,133.702876,0600,2200,1,1,0
7,父母ヶ浜,34.18939,133.64872,0000,2359,1,0,1
8,丸亀城,34.285989,133.800375,0900,1630,0,1,1
9,豊稔池堰堤,34.041832,133.68451,0000,2359,1,1,1
10,直島,34.45978,133.995641,0000,2359,1,1,0
11,旧金毘羅大芝居「金丸座」,34.184758,133.8181,0900,1700,0,1,0
12,紫雲出山,34.2436,133.596256,0000,2359,1,0,1
13,国立公園 寒霞渓,34.51564,134.300659,0830,1700,1,0,1
14,聖通寺山展望台,34.319851,133.831659,1000,2030,0,0,1
15,国営讃岐まんのう公園,34.165185,133.889186,0930,1700,1,1,0
16,ニューレオマワールド,34.211428,133.877609,1000,1600,0,1,0
17,史跡高松城跡・玉藻公園,34.350316,134.051619,0530,1830,0,1,0
18,日本ドルフィンセンター,34.287931,134.267852,1000,1700,1,1,0
19,瀬戸大橋記念公園,34.349579,133.826525,0000,2359,0,1,1
