id,name,latitude,longitude,rating,price
0,がもううどん,34.3049662,133.9148756,4.5,1.0
1,さか枝うどん,34.3397817,134.041651,4.2,1.0
2,純手打うどん やまうちうどん,34.1370142,133.8297522,4.2,1.0
3,山越うどん,34.2257949,133.9281879,4.2,1.0
4,谷川米穀店,34.1113789,133.9763211,4.2,1.0
5,手打うどん 山下うどん,34.2298838,133.8177267,4.0,1.0
6,なかむら,34.2604213,133.8356892,4.1,1.0
7,手打十段 うどんバカ一代,34.3367502,134.0585643,4.1,1.0
8,手打うどん 田村,34.2665137,133.9353145,4.1,1.0
9,わら家,34.3437715,134.1082475,4.1,2.0
10,元祖しょうゆうどん 小縣家,34.185423,133.8590007,3.8,1.0
11,日の出製麺所,34.3103627,133.8501739,4.3,1.0
12,うどん本陣 山田家本店,34.3532954,134.129628,4.3,2.0
13,本格手打うどん おか泉,34.309309,133.8209668,4.3,2.0
14,中西うどん,34.3021059,134.0293991,3.9,1.0
15,釜あげうどん 長田in香の香,34.2509086,133.7795765,4.2,1.0
16,本格手打うどんセルフ はゆか,34.2323823,133.9047801,4.0,1.0
17,本格手打うどん 香川屋本店,34.2349798,133.8855647,3.9,1.0
18,三嶋製麺所,34.1418723,133.9613691,4.2,1.0
19,松下製麺所,34.3350466,134.0447739,4.2,1.0
20,純手打ちうどん 山とも,34.2987206,133.8105175,4.1,1.0
21,手打ちうどん はりや,34.3493613,134.0151818,4.2,2.0
22,麺工房 六車,34.2463044,134.350167,4.0,2.0
23,中村,34.3004358,133.8074067,4.0,1.0
24,竹清,34.3380788,134.0423202,4.2,1.0
25,手打うどん 風月,34.34488090000000,134.0474539,4.4,2.0
26,手打ちうどん 大喜多うどん店,34.1158242,133.6898191,4.2,1.0
27,セルフ手打ちうどん まいどまいど,34.2827018,133.8541176,3.9,1.0
28,手打ちうどん 鶴丸,34.3423863,134.0523493,4.1,2.0
29,うどん棒 本店,34.3395637,134.0484119,4.3,2.0
30,さぬき手打うどん 宮川製麺所,34.2314127,133.7719503,4.1,1.0
31,マルタニ製麺,34.2894052,134.0113781,4.3,1.0
32,手織うどん 滝音,34.2528921,134.1387006,4.2,1.0
33,一福,34.3080262,133.9752981,4.1,1.0
34,三好うどん,34.1821088,133.6921303,4.2,1.0
35,麺処 綿谷,34.2962692,133.7960957,4.3,1.0
36,おおみねのうどん屋さん,34.487349,134.1698575,4.3,1.0
37,SIRAKAWA,34.1231425,133.7189779,3.8,2.0
38,ますや,34.3379228,134.0944851,4.2,1.0
39,上田製麺所,34.30006000000000,134.0462391,4.3,1.0
40,あかみち,34.2662396,133.7944329,3.9,1.0
41,本格手打 もり家,34.239692,134.0515023,4.1,2.0
42,本場讃岐うどん たも屋 本店,34.3573435,134.0640459,4.0,1.0
43,饂飩家 五右衛門,34.3420606,134.0519112,3.9,2.0
44,セルフサービスの店 上原屋本店,34.3271869,134.0453059,4.2,1.0
45,さぬきうどん亀城庵,34.3233348,134.1845387,3.9,1.0
46,番丁,34.3407643,134.0419391,3.9,1.0
47,ひさ枝,34.3537454,134.0101318,4.1,1.0
48,手打うどん むさし,34.18985,133.8287627,4.0,2.0
49,セルフの店 麺八,34.3497652,134.0114253,4.1,1.0
50,讃岐うどん ぼっこ屋 三谷店,34.27941910000000,134.058711,3.8,1.0
51,麦蔵,34.3453377,134.0686908,3.8,1.0
52,純手打うどん よしや,34.2656911,133.8386014,4.1,1.0
53,サヌキのピッピ,34.221306,133.870132,4.0,1.0
54,宝山亭,34.23995,134.0081042,4.1,1.0
55,國安うどん,34.2994884,134.0535467,3.8,2.0
56,手打うどん 三太郎,34.4793655,134.3011788,4.0,2.0
57,いけこうどん,34.2714651,133.7446509,4.0,1.0
58,柳川,34.1285873,133.64739,4.0,1.0
59,手打うどん 渡辺,34.179445,133.717202,4.2,1.0
60,本手打 かわたうどん,34.2286791,134.021515,4.0,2.0
61,手打うどん 小野うどん,34.1854579,133.7267518,3.8,1.0
62,手打うどん 歩,34.2651796,133.8359319,4.3,1.0
63,松ゆき,34.2232459,133.6905681,4.1,2.0
64,本場かなくま餅 福田,34.1391482,133.6728066,4.1,2.0
65,めりけんや かけはし店,34.3170526,133.8203226,3.8,1.0
66,麺処 まはろ,34.2902981,134.2184809,4.2,2.0
67,かじまや,34.1395253,133.6513066,4.2,1.0
68,本格手打ちうどん うまじ家,34.1280829,133.6709825,4.2,1.0
69,麦香,34.21646,133.8577932,4.2,1.0
70,（丸亀）渡辺,34.2863527,133.8179957,4.1,2.0
71,もり,34.1714022,133.7488373,4.1,2.0
72,セルフうどん 麺太郎,34.29421,133.838554,4.0,1.0
73,一打入魂	喰うかい,34.296377,133.7938957,4.0,1.0
74,讃州めんめ,34.3350942,134.0319092,4.4,1.0
75,上野製麺所,34.2862349,134.01716,4.1,1.0
76,さぬきうどん羽立,34.2939835,134.2428481,4.2,1.0
77,手打うどん 三徳,34.2926873,134.0689812,4.1,2.0
78,手打うどん 町川,34.3432954,133.9150405,4.1,1.0
79,麺処 とらや,34.3244645,133.8434547,4.2,2.0
80,田,34.282681,134.0353674,4.1,1.0
81,清水屋,34.2955548,134.0107686,4.1,1.0
82,木の崎うどん 直島店,34.4597802,133.9956414,4.3,1.0
83,手造りそばうどん いしうす庵 レインボー店,34.3171672,134.061556,3.3,1.0
84,うどん 田中,34.2928823,134.0740041,3.3,2.0
85,手打ちセルフうどん 海侍,34.2690635,133.8708,4.1,1.0
86,こだわり麺や	丸亀田村店,34.2667394,133.7940218,3.9,1.0
87,飯野屋,34.2808664,133.8277171,3.9,1.0
88,桃太郎館,34.3299712,133.9949113,4.3,2.0
